ID,ID salarié,Date de début,Type,Distance (m),Date de fin,Commentaire
1,56482,2024-09-13 07:23:17.280355,Course à pied,7506.0,2024-09-13 07:56:41.280355,Très belle performance !
2,56482,2025-03-17 18:12:20.151488,Escalade,,2025-03-17 19:56:47.151488,Quelle énergie !
3,56482,2024-06-06 00:19:10.957654,Vélo,44453.0,2024-06-06 01:20:55.957654,Très belle performance !
4,56482,2024-08-16 00:38:57.605004,Escalade,,2024-08-16 02:23:21.605004,Quelle énergie !
5,56482,2024-07-28 00:39:19.127257,Vélo,23210.0,2024-07-28 02:07:01.127257,Quelle énergie !
6,56482,2025-03-12 10:33:21.447216,Course à pied,4584.0,2025-03-12 11:55:13.447216,Quelle énergie !
7,56482,2024-10-09 21:15:37.867398,Escalade,,2024-10-09 22:48:20.867398,Bravo pour cet effort !
8,56482,2025-05-10 12:48:50.424390,Escalade,,2025-05-10 14:43:16.424390,Quelle énergie !
9,56482,2025-05-17 15:31:14.422402,Escalade,,2025-05-17 16:32:20.422402,Encore un défi relevé !
10,56482,2024-11-24 23:21:16.345487,Randonnée,5664.0,2024-11-25 00:53:10.345487,Magnifique sortie !
11,56482,2024-10-01 15:35:30.733392,Escalade,,2024-10-01 16:41:57.733392,Très belle performance !
12,56482,2024-06-21 08:53:34.387691,Vélo,21043.0,2024-06-21 10:36:29.387691,Bravo pour cet effort !
13,56482,2024-06-13 16:12:32.182189,Escalade,,2024-06-13 17:58:34.182189,Magnifique sortie !
14,56482,2024-09-13 09:41:30.494561,Course à pied,9572.0,2024-09-13 10:54:34.494561,Très belle performance !
15,56482,2024-11-15 03:59:12.679470,Randonnée,9482.0,2024-11-15 04:58:13.679470,Encore un défi relevé !
16,56482,2025-01-22 09:17:02.930288,Vélo,21162.0,2025-01-22 10:23:11.930288,Très belle performance !
17,56482,2025-03-19 10:17:30.451711,Marche,3796.0,2025-03-19 11:45:59.451711,Sortie inspirante !
18,56482,2024-10-06 06:15:56.686176,Natation,827.0,2024-10-06 06:58:20.686176,Très belle performance !
19,56482,2025-05-24 12:41:54.608708,Natation,1458.0,2025-05-24 14:33:19.608708,Sortie inspirante !
20,56482,2024-12-22 00:45:21.824777,Randonnée,14808.0,2024-12-22 02:30:53.824777,Sortie inspirante !
21,56482,2024-06-11 09:02:33.545324,Randonnée,7808.0,2024-06-11 11:00:03.545324,Encore un défi relevé !
22,56482,2025-04-06 04:20:27.960344,Course à pied,11201.0,2025-04-06 05:26:24.960344,Très belle performance !
23,56482,2025-04-10 10:28:08.678642,Randonnée,6258.0,2025-04-10 12:25:22.678642,Magnifique sortie !
24,56482,2024-09-09 06:31:48.436031,Marche,6002.0,2024-09-09 08:14:12.436031,Quelle énergie !
25,56482,2025-01-25 21:42:31.322817,Randonnée,6946.0,2025-01-25 22:54:30.322817,Quelle énergie !
26,56482,2024-12-25 11:15:19.075809,Course à pied,4133.0,2024-12-25 12:51:40.075809,Encore un défi relevé !
27,56482,2024-11-03 07:48:45.139406,Marche,5466.0,2024-11-03 08:41:17.139406,Sortie inspirante !
28,56482,2025-04-02 01:39:13.754199,Escalade,,2025-04-02 02:36:40.754199,Bravo pour cet effort !
29,56482,2025-02-25 18:23:56.040762,Natation,631.0,2025-02-25 20:04:35.040762,Bravo pour cet effort !
30,56482,2024-10-29 21:26:51.611886,Course à pied,12075.0,2024-10-29 23:17:10.611886,Quelle énergie !
31,56482,2024-09-07 06:16:55.358659,Escalade,,2024-09-07 08:13:04.358659,Bravo pour cet effort !
32,56482,2024-09-01 13:52:04.608166,Course à pied,6899.0,2024-09-01 15:32:15.608166,Sortie inspirante !
33,56482,2025-05-06 10:06:48.570515,Vélo,35976.0,2025-05-06 11:54:45.570515,Encore un défi relevé !
34,56482,2025-02-22 01:32:56.760866,Vélo,48187.0,2025-02-22 02:15:48.760866,Encore un défi relevé !
35,56482,2024-10-28 14:21:02.317428,Natation,624.0,2024-10-28 14:58:25.317428,Encore un défi relevé !
36,56482,2025-01-27 14:05:34.484457,Escalade,,2025-01-27 15:21:53.484457,Encore un défi relevé !
37,56482,2024-10-29 01:36:48.203521,Vélo,23254.0,2024-10-29 03:04:24.203521,Encore un défi relevé !
38,56482,2024-06-13 13:48:39.418610,Marche,8848.0,2024-06-13 14:32:01.418610,Quelle énergie !
39,56482,2025-04-26 07:06:23.814082,Vélo,36826.0,2025-04-26 07:59:05.814082,Quelle énergie !
40,56482,2025-02-13 11:02:28.601584,Vélo,30586.0,2025-02-13 12:24:12.601584,Bravo pour cet effort !
41,56482,2025-03-13 16:00:23.157355,Natation,1107.0,2025-03-13 17:46:15.157355,Magnifique sortie !
42,56482,2024-08-20 22:44:52.124539,Course à pied,11883.0,2024-08-21 00:33:56.124539,Sortie inspirante !
43,56482,2024-11-19 22:22:20.492241,Natation,1540.0,2024-11-20 00:00:59.492241,Quelle énergie !
44,56482,2024-08-17 11:46:34.016818,Vélo,9453.0,2024-08-17 12:25:55.016818,Encore un défi relevé !
45,56482,2024-12-09 12:29:38.980262,Course à pied,7033.0,2024-12-09 14:17:24.980262,Quelle énergie !
